Name,Year
The Avengers,2012-04-25
The Avengers,2012-04-25
Brothers,2010-03-18
Brothers,2010-03-18
The Lion King,1994-08-25
The Lion King,1994-08-25
Scream,1997-02-13
Scream,1997-02-13
Mulan,1998-09-03
Mulan,1998-09-03
Twilight,2008-12-11
Twilight,2008-12-11
The Lion King,2019-07-17
The Lion King,2019-07-17
Ben-Hur,2016-08-25
Ben-Hur,2016-08-25
Venom,2018-09-28
Venom,2018-09-28
Teenage Mutant Ninja Turtles,2014-09-11
Teenage Mutant Ninja Turtles,2014-09-11
Beauty and the Beast,1992-06-11
Beauty and the Beast,1992-06-11
The Mummy,1999-06-24
The Mummy,1999-06-24
Cinderella,2015-03-26
Cinderella,2015-03-26
Hercules,1997-09-18
Hercules,1997-09-18
Beauty and the Beast,2017-03-23
Beauty and the Beast,2017-03-23
The Karate Kid,2010-07-08
The Karate Kid,2010-07-08
Aladdin,2019-05-24
Aladdin,2019-05-24
The Addams Family,2019-12-05
The Addams Family,2019-12-05
Lolita,1997-09-27
Lolita,1997-09-27
Aladdin,1993-06-03
Aladdin,1993-06-03
Hercules,2014-07-24
Hercules,2014-07-24
Hellboy,2019-04-11
Hellboy,2019-04-11
Clash of the Titans,2010-08-10
Clash of the Titans,2010-08-10
Home,2015-03-18
Home,2015-03-18
Godzilla,2014-05-15
Godzilla,2014-05-15
The Jungle Book,2016-04-07
The Jungle Book,2016-04-07
Legend,2015-10-15
Legend,2015-10-15
The Texas Chainsaw Massacre,2003-11-20
The Texas Chainsaw Massacre,2003-11-20
Ghostbusters,2016-07-14
Ghostbusters,2016-07-14
The Addams Family,1991-12-26
The Addams Family,1991-12-26
House of Wax,2005-07-14
House of Wax,2005-07-14
Dawn of the Dead,2004-06-10
Dawn of the Dead,2004-06-10
Casino Royale,2006-12-07
Casino Royale,2006-12-07
Planet of the Apes,2001-08-09
Planet of the Apes,2001-08-09
Life,2017-03-23
Life,2017-03-23
King Kong,2005-12-14
King Kong,2005-12-14
King Kong,2005-12-14
Conan the Barbarian,2011-08-18
Conan the Barbarian,2011-08-18
Unknown,2011-02-17
Unknown,2011-02-17
Robin Hood,2010-05-12
Robin Hood,2010-05-12
Halloween,2018-10-25
Halloween,2018-10-25
Halloween,2018-10-25
Total Recall,2012-09-06
Total Recall,2012-09-06
Robin Hood,2013-09-11
Robin Hood,2013-09-11
The Mummy,2017-06-08
The Mummy,2017-06-08
Peter Pan,2003-12-18
Peter Pan,2003-12-18
Godzilla,1998-06-11
Godzilla,1998-06-11
Total Recall,1990-12-06
Total Recall,1990-12-06
Left Behind,2014-10-03
Left Behind,2014-10-03
The Grudge,2004-11-18
The Grudge,2004-11-18
Point Break,1992-01-01
Point Break,1992-01-01
Carrie,2002-11-04
Carrie,2002-11-04
The Great Gatsby,2013-05-30
The Great Gatsby,2013-05-30
Teenage Mutant Ninja Turtles,1990-08-02
Teenage Mutant Ninja Turtles,1990-08-02
Point Break,2016-01-01
Point Break,2016-01-01
Friday the 13th,2009-02-13
Friday the 13th,2009-02-13
Hellboy,2004-08-19
Hellboy,2004-08-19
A Nightmare on Elm Street,2010-05-20
A Nightmare on Elm Street,2010-05-20
Carrie,2013-11-13
Carrie,2013-11-13
Poltergeist,2015-05-21
Poltergeist,2015-05-21
The Day the Earth Stood Still,2008-12-17
The Day the Earth Stood Still,2008-12-17
Mortal Kombat,1995-12-26
Mortal Kombat,1995-12-26
Night of the Living Dead,1990-10-19
Night of the Living Dead,1990-10-19
Robin Hood,2019-02-01
Robin Hood,2019-02-01
The Last House on the Left,2009-03-13
The Last House on the Left,2009-03-13
The Avengers,1998-11-05
The Avengers,1998-11-05
Serenity,2005-09-29
Serenity,2005-09-29
Crash,1997-01-30
Crash,1997-01-30
RoboCop,2014-02-06
RoboCop,2014-02-06
Pet Sematary,2019-04-04
Pet Sematary,2019-04-04
Halloween,2007-11-22
Halloween,2007-11-22
Halloween,2007-11-22
Unforgettable,2017-04-21
Unforgettable,2017-04-21
Footloose,2011-10-06
Footloose,2011-10-06
Notorious,2009-03-12
Notorious,2009-03-12
Life,1999-08-12
Life,1999-08-12
The Fog,2005-10-14
The Fog,2005-10-14
Heist,2015-11-13
Heist,2015-11-13
The Omen,2006-06-06
The Omen,2006-06-06
The Ten Commandments,2007-10-19
The Ten Commandments,2007-10-19
The Island,2005-07-28
The Island,2005-07-28
Crash,2005-05-12
Crash,2005-05-12
Around the World in 80 Days,2004-08-26
Around the World in 80 Days,2004-08-26
Venom,2005-10-01
Venom,2005-10-01
Flatliners,1990-08-20
Flatliners,1990-08-20
Shaft,2000-06-15
Shaft,2000-06-15
Flatliners,2018-01-03
Flatliners,2018-01-03
Death at a Funeral,2007-10-10
Death at a Funeral,2007-10-10
The Last House on the Left,2004-11-04
The Last House on the Left,2004-11-04
The Gift,2001-01-19
The Gift,2001-01-19
The Gift,2015-08-27
The Gift,2015-08-27
Benji,2018-03-16
Benji,2018-03-16
The Kid,2000-09-28
The Kid,2000-09-28
Serenity,2019-01-25
Serenity,2019-01-25
The Signal,2014-06-13
The Signal,2014-06-13
Little Women,1994-12-21
Little Women,1994-12-21
Death at a Funeral,2010-04-28
Death at a Funeral,2010-04-28
The Jungle Book,1994-12-23
The Jungle Book,1994-12-23
